job_id,experience_min,experience_max,salary_min,salary_max,salary_avg,experience_avg,job_level,year,month,quarter,day,location_list,region,accounting,reporting,finance,management,monitoring,inspection,english,accounting software,excel,misa,fast,sap,erp,accounts payable,reconciliation,audit,inventory checking,tax finalization,cash inflow/outflow,analysis,communication,teamwork,honesty,careful,responsibility,proactiveness,work under pressure,detail oriented,num_hard,num_software,num_soft
35C6B77D,1.0,2.0,10000000.0,14000000.0,12000000.0,1.5,Junior,2026,3,1,9,Ho Chi Minh,South,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,2
35C66BBF,1.0,3.0,9000000.0,13000000.0,11000000.0,2.0,Junior,2026,1,1,27,Ho Chi Minh,South,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,5,2,4
35C61BEA,1.0,3.0,12000000.0,18000000.0,15000000.0,2.0,Junior,2025,12,4,29,Dong Nai,South,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,4,4,5
35C6C188,2.0,6.0,14000000.0,16000000.0,15000000.0,4.0,Senior,2026,3,1,11,Ho Chi Minh,South,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
35C64CBC,1.0,2.0,8000000.0,10000000.0,9000000.0,1.5,Junior,2026,1,1,7,Ho Chi Minh,South,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,2,5
35C68F34,1.0,2.0,18000000.0,36000000.0,27000000.0,1.5,Junior,2026,2,1,23,Ha Noi,North,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0
35C6A5F1,1.0,3.0,12000000.0,15000000.0,13500000.0,2.0,Junior,2026,3,1,2,Ho Chi Minh,South,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
35C6C91C,2.0,8.0,15000000.0,25000000.0,20000000.0,5.0,Manager,2026,3,1,13,Ha Noi,North,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1
35C66962,2.0,3.0,14000000.0,20000000.0,17000000.0,2.5,Senior,2026,1,1,26,Ho Chi Minh,South,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,4
35C6C12D,1.0,2.0,8000000.0,9000000.0,8500000.0,1.5,Junior,2026,3,1,11,Ho Chi Minh,South,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
35C6B189,2.0,5.0,10000000.0,15000000.0,12500000.0,3.5,Senior,2026,3,1,5,Ho Chi Minh,South,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,0,4
35C661A4,1.0,2.0,10000000.0,15000000.0,12500000.0,1.5,Junior,2026,1,1,20,Dong Nai,South,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
35C6650E,2.0,5.0,10000000.0,14000000.0,12000000.0,3.5,Senior,2026,1,1,22,Ho Chi Minh,South,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3
35C6ACED,2.0,5.0,8000000.0,13000000.0,10500000.0,3.5,Senior,2026,3,1,4,Ha Noi,North,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,3
35C63354,2.0,3.0,16000000.0,20000000.0,18000000.0,2.5,Senior,2025,12,4,18,Ho Chi Minh,South,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1
35C6740A,3.0,5.0,20000000.0,25000000.0,22500000.0,4.0,Senior,2026,2,1,2,Ho Chi Minh,South,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,7,5,3
35C69AB2,1.0,2.0,9000000.0,15000000.0,12000000.0,1.5,Junior,2026,2,1,26,Ho Chi Minh,South,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,6
35C69D06,3.0,5.0,20000000.0,30000000.0,25000000.0,4.0,Senior,2026,2,1,26,Ho Chi Minh,South,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,2
35C668E9,2.0,3.0,15000000.0,20000000.0,17500000.0,2.5,Senior,2026,1,1,26,Ha Noi,North,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1
35C6AC34,0.0,1.0,8000000.0,12000000.0,10000000.0,0.5,Fresher,2026,3,1,4,Long An,South,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,8,3,5
35C636BA,2.0,3.0,12000000.0,15000000.0,13500000.0,2.5,Senior,2025,12,4,22,Ha Noi,North,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,1
35C6A854,2.0,3.0,16000000.0,21000000.0,18500000.0,2.5,Senior,2026,3,1,3,Ho Chi Minh,South,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
35C67F70,2.0,10.0,600.0,3000.0,1800.0,6.0,Manager,2026,2,1,6,Ho Chi Minh,South,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1
35C67F70,2.0,10.0,600.0,3000.0,1800.0,6.0,Manager,2026,2,1,6,Ha Noi,North,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1
35C6C322,1.0,5.0,10000000.0,11000000.0,10500000.0,3.0,Senior,2026,3,1,12,Ho Chi Minh,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35C6BC51,5.0,7.0,20000000.0,25000000.0,22500000.0,6.0,Manager,2026,3,1,10,Ho Chi Minh,South,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,0,2
35C6C11D,5.0,10.0,16000000.0,25000000.0,20500000.0,7.5,Manager,2026,3,1,11,Ho Chi Minh,South,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,6,1,3
35C69B63,1.0,2.0,11000000.0,15000000.0,13000000.0,1.5,Junior,2026,2,1,26,Long An,South,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3,2,4
35C6A66E,4.0,6.0,30000000.0,45000000.0,37500000.0,5.0,Manager,2026,3,1,2,Ho Chi Minh,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
35C69798,10.0,15.0,35000000.0,60000000.0,47500000.0,12.5,Manager,2026,2,1,25,Ha Noi,North,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
35C67F4F,5.0,6.0,20000000.0,25000000.0,22500000.0,5.5,Manager,2026,2,1,6,Ho Chi Minh,South,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,4,3,4
35C6C0D9,2.0,3.0,17000000.0,19000000.0,18000000.0,2.5,Senior,2026,3,1,11,Ho Chi Minh,South,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,3
35C6B79C,3.0,5.0,30000000.0,40000000.0,35000000.0,4.0,Senior,2026,3,1,9,Ho Chi Minh,South,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6,4,0
35C688E7,2.0,3.0,18000000.0,25000000.0,21500000.0,2.5,Senior,2026,2,1,12,Dong Nai,South,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1
35C688E7,2.0,3.0,18000000.0,25000000.0,21500000.0,2.5,Senior,2026,2,1,12,Ba Ria-VT,South,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1
35C664C7,7.0,10.0,30000000.0,35000000.0,32500000.0,8.5,Manager,2026,1,1,22,Ho Chi Minh,South,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,2
35C63BF9,3.0,4.0,19000000.0,23000000.0,21000000.0,3.5,Senior,2025,12,4,24,Long An,South,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1
35C6644A,3.0,5.0,25000000.0,35000000.0,30000000.0,4.0,Senior,2026,1,1,22,Ha Noi,North,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,2,1
35C64D92,3.0,5.0,16000000.0,20000000.0,18000000.0,4.0,Senior,2026,1,1,7,Ho Chi Minh,South,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
35C6A814,3.0,5.0,25000000.0,35000000.0,30000000.0,4.0,Senior,2026,3,1,3,Ho Chi Minh,South,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,4,3,4
35C65701,2.0,10.0,25000000.0,35000000.0,30000000.0,6.0,Manager,2026,1,1,13,Ha Noi,North,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,2,3
35C6A143,2.0,5.0,20000000.0,25000000.0,22500000.0,3.5,Senior,2026,2,1,28,Ho Chi Minh,South,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
